sample	species	group	ROH	FROH	DP4	nRefHom	nNonRefHom	nHets	het	nTransitions	nTransversions	depth	nSingletons	nMissing	high_hom	high_het	high_total	moderate_hom	moderate_het	moderate_total	cadd_01_hom	cadd_01_het	cadd_01_total	cadd_05_hom	cadd_05_het	cadd_10_hom	cadd_10_het	cadd_25_hom	cadd_25_het
MK_594332	Mauritius 	early	402253302	0.365805361	976705323	31189128	42410	116893	0.000119681	114073	45230	40.14328532	0	15440	9.54E-05	9.50E-06	0.00020023	0.003879381	0.000213431	0.007972193	0.000812348	0.000196933	0.001821628	0.01680493	0.001993944	0.051941019	0.004529454	0.167335418	0.011175935
MK_594337	Mauritius 	early	387336356	0.352240031	978259274	31163018	65780	117284	0.000119891	130544	52520	44.99279884	0	17789	9.63E-05	8.51E-06	0.000201111	0.003898538	0.000216647	0.008013722	0.000811605	0.000188555	0.001811765	0.016764975	0.001983924	0.052082095	0.004426937	0.167371014	0.011100135
MK_594338	Mauritius 	early	421561631	0.383364173	961855834	31063597	72460	110691	0.000115081	130602	52549	41.50731923	0	117123	9.67E-05	8.10E-06	0.000201467	0.003937638	0.000191499	0.008066776	0.000831899	0.000156496	0.001820293	0.016876838	0.001812057	0.052014266	0.004159494	0.167121054	0.010592295
MK_594341	Mauritius 	early	375286641	0.341282134	980181627	31153341	58393	125999	0.000128547	132159	52233	49.37937829	0	26138	9.37E-05	9.50E-06	0.000196875	0.003807516	0.000219956	0.007834989	0.000804644	0.000213477	0.001822765	0.016659414	0.002101927	0.0517189	0.004606176	0.166429926	0.011897235
MK_594342	Mauritius 	early	350427339	0.318675319	982310810	31167546	53820	131335	0.0001337	132293	52862	42.24362702	0	11170	9.56E-05	9.61E-06	0.000200739	0.003866873	0.00022537	0.007959116	0.000837191	0.000164155	0.001838537	0.016727404	0.00193703	0.051659608	0.004448603	0.166486096	0.011531895
MK_594345	Mauritius 	early	384999839	0.350115224	977724783	31176207	51586	120314	0.000123055	122882	49018	42.82701061	0	15764	9.52E-05	9.62E-06	0.000200027	0.003879064	0.000226047	0.007984175	0.000827662	0.000172088	0.001827412	0.016864636	0.001819217	0.052150897	0.004277619	0.167335215	0.010907109
MK_594350	Mauritius 	early	448242442	0.407627451	975091747	31169706	68869	106939	0.000109671	125569	50239	41.55073274	0	18357	9.61E-05	9.50E-06	0.000201663	0.003898944	0.00020524	0.008003127	0.000828385	0.000164037	0.001820806	0.016961386	0.001714183	0.052401496	0.003715429	0.168285161	0.009514124
MK_594356	Mauritius 	early	503096929	0.457511605	979141651	31193369	64391	92180	9.41437E-05	111529	45042	44.53551147	0	13931	9.68E-05	6.90E-06	0.000200404	0.003904302	0.000176863	0.007985468	0.000852365	0.000122937	0.001827667	0.01715384	0.001303134	0.052682695	0.003032451	0.169104238	0.008031898
MK_594357	Mauritius 	early	491709874	0.447156324	980846014	31161285	80304	104070	0.000106102	131801	52573	39.12108404	63	18212	9.48E-05	7.90E-06	0.000197567	0.003886134	0.000193739	0.007966007	0.000828276	0.000123011	0.001779564	0.016909956	0.001607348	0.052074791	0.003837953	0.167336395	0.010242742
MK_594358	Mauritius 	early	553998675	0.503801173	981247903	31188897	65012	95369	9.71915E-05	114536	45845	40.12351964	0	14593	9.56E-05	8.02E-06	0.000199285	0.00389685	0.00018386	0.00797756	0.000844861	0.000139443	0.001829166	0.016987454	0.00155028	0.052406009	0.003674737	0.168275047	0.009703601
